GLAccountKey, FileImportLogKey, ImportDateTime, GLACCOUNT, COMPANYCODE, CHARTOFACCOUNTS, GLACCOUNTGROUP, CORPORATEGROUPACCOUNT, ACCOUNTISBLOCKEDFORPOSTING, ACCOUNTISBLOCKEDFORPLANNING, ACCOUNTISBLOCKEDFORCREATION, ISBALANCESHEETACCOUNT, ACCOUNTISMARKEDFORDELETION, PARTNERCOMPANY, FUNCTIONALAREA, CREATIONDATE, SAMPLEGLACCOUNT, ISPROFITLOSSACCOUNT, CREATEDBYUSER, PROFITLOSSACCOUNTTYPE, RECONCILIATIONACCOUNTTYPE, LINEITEMDISPLAYISENABLED, ISOPENITEMMANAGED, ALTERNATIVEGLACCOUNT, ACCTGDOCITMDISPLAYSEQUENCERULE, GLACCOUNTEXTERNAL, COUNTRYCHARTOFACCOUNTS, AUTHORIZATIONGROUP, TAXCATEGORY, ISAUTOMATICALLYPOSTED
354799784,38577,2026-03-26 20:35:33.143,0001281024,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1281024   ",NULL,NULL,"* ",NULL
354799785,38577,2026-03-26 20:35:33.143,0001991514,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1991514   ",NULL,NULL,"* ",NULL
354799786,38577,2026-03-26 20:35:33.143,0001520017,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1520017   ",NULL,NULL,"* ",NULL
354799787,38577,2026-03-26 20:35:33.143,0002112027,CO_1015,CIBO,2000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"2112027   ",NULL,NULL,"* ",NULL
354799788,38577,2026-03-26 20:35:33.143,0001003178,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1003178   ",NULL,NULL,"* ",NULL
354799789,38577,2026-03-26 20:35:33.143,0001281025,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1281025   ",NULL,NULL,"* ",NULL
354799790,38577,2026-03-26 20:35:33.143,0001991515,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1991515   ",NULL,NULL,"* ",NULL
354799791,38577,2026-03-26 20:35:33.143,0001520018,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1520018   ",NULL,NULL,"* ",NULL
354799792,38577,2026-03-26 20:35:33.143,0001810027,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1810027   ",NULL,NULL,"* ",NULL
354799793,38577,2026-03-26 20:35:33.143,0001003179,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1003179   ",NULL,NULL,"* ",NULL
354799794,38577,2026-03-26 20:35:33.143,0002112028,CO_1015,CIBO,2000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"2112028   ",NULL,NULL,"* ",NULL
354799795,38577,2026-03-26 20:35:33.143,0001991516,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1991516   ",NULL,NULL,"* ",NULL
354799796,38577,2026-03-26 20:35:33.143,0001520019,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1520019   ",NULL,NULL,"* ",NULL
354799797,38577,2026-03-26 20:35:33.143,0001810028,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1810028   ",NULL,NULL,"* ",NULL
354799798,38577,2026-03-26 20:35:33.143,0001281026,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1281026   ",NULL,NULL,"* ",NULL
354799799,38577,2026-03-26 20:35:33.143,0002123010,CO_1015,CIBO,2000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"2123010   ",NULL,NULL,"* ",NULL
354799800,38577,2026-03-26 20:35:33.143,0002012303,CO_1015,CIBO,2000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"2012303   ",NULL,NULL,"* ",NULL
354799801,38577,2026-03-26 20:35:33.143,0001003180,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1003180   ",NULL,NULL,"* ",NULL
354799802,38577,2026-03-26 20:35:33.143,0001960001,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1960001   ",NULL,NULL,"* ",NULL
354799803,38577,2026-03-26 20:35:33.143,0001991517,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1991517   ",NULL,NULL,"* ",NULL
354799804,38577,2026-03-26 20:35:33.143,0001810029,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1810029   ",NULL,NULL,"* ",NULL
354799805,38577,2026-03-26 20:35:33.143,0002112029,CO_1015,CIBO,2000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"2112029   ",NULL,NULL,"* ",NULL
354799806,38577,2026-03-26 20:35:33.143,0001520020,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1520020   ",NULL,NULL,"* ",NULL
354799807,38577,2026-03-26 20:35:33.143,0002123011,CO_1015,CIBO,2000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"2123011   ",NULL,NULL,"* ",NULL
354799808,38577,2026-03-26 20:35:33.143,0001281027,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1281027   ",NULL,NULL,"* ",NULL
354799809,38577,2026-03-26 20:35:33.143,0002012304,CO_1015,CIBO,2000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"2012304   ",NULL,NULL,"* ",NULL
354799810,38577,2026-03-26 20:35:33.143,0001960002,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1960002   ",NULL,NULL,"* ",NULL
354799811,38577,2026-03-26 20:35:33.143,0001003181,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1003181   ",NULL,NULL,"* ",NULL
354799812,38577,2026-03-26 20:35:33.143,0002131001,CO_1015,CIBO,2000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"2131001   ",NULL,NULL,"* ",NULL
354799813,38577,2026-03-26 20:35:33.143,0001520021,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1520021   ",NULL,NULL,"* ",NULL
354799814,38577,2026-03-26 20:35:33.143,0001281028,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1281028   ",NULL,NULL,"* ",NULL
354799815,38577,2026-03-26 20:35:33.143,0002012305,CO_1015,CIBO,2000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"2012305   ",NULL,NULL,"* ",NULL
354799816,38577,2026-03-26 20:35:33.143,0001810030,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1810030   ",NULL,NULL,"* ",NULL
354799817,38577,2026-03-26 20:35:33.143,0001991518,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1991518   ",NULL,NULL,"* ",NULL
354799818,38577,2026-03-26 20:35:33.143,0002112030,CO_1015,CIBO,2000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"2112030   ",NULL,NULL,"* ",NULL
354799819,38577,2026-03-26 20:35:33.143,0001960003,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1960003   ",NULL,NULL,"* ",NULL
354799820,38577,2026-03-26 20:35:33.143,0001003182,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1003182   ",NULL,NULL,"* ",NULL
354799821,38577,2026-03-26 20:35:33.143,0001991519,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1991519   ",NULL,NULL,"* ",NULL
354799822,38577,2026-03-26 20:35:33.143,0001810031,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1810031   ",NULL,NULL,"* ",NULL
354799823,38577,2026-03-26 20:35:33.143,0001520022,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1520022   ",NULL,NULL,"* ",NULL
354799824,38577,2026-03-26 20:35:33.143,0001281029,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1281029   ",NULL,NULL,"* ",NULL
354799825,38577,2026-03-26 20:35:33.143,0002131023,CO_1015,CIBO,2000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"2131023   ",NULL,NULL,"* ",NULL
354799826,38577,2026-03-26 20:35:33.143,0002112031,CO_1015,CIBO,2000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"2112031   ",NULL,NULL,"* ",NULL
354799827,38577,2026-03-26 20:35:33.143,0001960004,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1960004   ",NULL,NULL,"* ",NULL
354799828,38577,2026-03-26 20:35:33.143,0001991520,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1991520   ",NULL,NULL,"* ",NULL
354799829,38577,2026-03-26 20:35:33.143,0001810032,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1810032   ",NULL,NULL,"* ",NULL
354799830,38577,2026-03-26 20:35:33.143,0002012306,CO_1015,CIBO,2000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"2012306   ",NULL,NULL,"* ",NULL
354799831,38577,2026-03-26 20:35:33.143,0001003183,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1003183   ",NULL,NULL,"* ",NULL
354799832,38577,2026-03-26 20:35:33.143,0001520023,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1520023   ",NULL,NULL,"* ",NULL
354799833,38577,2026-03-26 20:35:33.143,0001281030,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1281030   ",NULL,NULL,"* ",NULL
354799834,38577,2026-03-26 20:35:33.143,0002012307,CO_1015,CIBO,2000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"2012307   ",NULL,NULL,"* ",NULL
354799835,38577,2026-03-26 20:35:33.143,0002131025,CO_1015,CIBO,2000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"2131025   ",NULL,NULL,"* ",NULL
354799836,38577,2026-03-26 20:35:33.143,0001003184,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1003184   ",NULL,NULL,"* ",NULL
354799837,38577,2026-03-26 20:35:33.143,0002112032,CO_1015,CIBO,2000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"2112032   ",NULL,NULL,"* ",NULL
354799838,38577,2026-03-26 20:35:33.143,0001960005,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1960005   ",NULL,NULL,"* ",NULL
354799839,38577,2026-03-26 20:35:33.143,0001810033,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1810033   ",NULL,NULL,"* ",NULL
354799840,38577,2026-03-26 20:35:33.143,0001991521,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1991521   ",NULL,NULL,"* ",NULL
354799841,38577,2026-03-26 20:35:33.143,0001281031,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1281031   ",NULL,NULL,"* ",NULL
354799842,38577,2026-03-26 20:35:33.143,0002012308,CO_1015,CIBO,2000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"2012308   ",NULL,NULL,"* ",NULL
354799843,38577,2026-03-26 20:35:33.143,0002131027,CO_1015,CIBO,2000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"2131027   ",NULL,NULL,"* ",NULL
354799844,38577,2026-03-26 20:35:33.143,0001003185,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1003185   ",NULL,NULL,"* ",NULL
354799845,38577,2026-03-26 20:35:33.143,0001520024,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1520024   ",NULL,NULL,"* ",NULL
354799846,38577,2026-03-26 20:35:33.143,0001991522,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1991522   ",NULL,NULL,"* ",NULL
354799847,38577,2026-03-26 20:35:33.143,0001810034,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1810034   ",NULL,NULL,"* ",NULL
354799848,38577,2026-03-26 20:35:33.143,0001960006,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1960006   ",NULL,NULL,"* ",NULL
354799849,38577,2026-03-26 20:35:33.143,0001281032,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1281032   ",NULL,NULL,"* ",NULL
354799850,38577,2026-03-26 20:35:33.143,0002112033,CO_1015,CIBO,2000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"2112033   ",NULL,NULL,"* ",NULL
354799851,38577,2026-03-26 20:35:33.143,0002131028,CO_1015,CIBO,2000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"2131028   ",NULL,NULL,"* ",NULL
354799852,38577,2026-03-26 20:35:33.143,0002012309,CO_1015,CIBO,2000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"2012309   ",NULL,NULL,"* ",NULL
354799853,38577,2026-03-26 20:35:33.143,0001520025,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1520025   ",NULL,NULL,"* ",NULL
354799854,38577,2026-03-26 20:35:33.143,0001003186,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1003186   ",NULL,NULL,"* ",NULL
354799855,38577,2026-03-26 20:35:33.143,0001991523,CO_1015,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1991523   ",NULL,NULL,"* ",NULL
